make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
42,564,2011,3000,173000,Plata,Metropolitana de Santiago,10990000,0,1,0,13
63,756,2013,1300,160000,,IV Coquimbo,53000000,0,0,,11
47,615,2011,2000,41000,,IIAntofagasta,5200000,0,0,,13
65,793,2019,2000,137700,,Metropolitana de Santiago,27990000,0,1,1,5
13,213,2013,1600,300000,,Región Metropolitana,3650000,1,0,,11
49,810,2021,1500,20000,,Antofagasta,13500000,1,0,0,3
49,642,2018,,106300,,VIII Biobío,7890000,1,0,,6
33,400,2018,,41382,,Metropolitana de Santiago,9790000,0,1,,6
13,201,2016,1200,102000,,Región Metropolitana,5590000,0,0,,8
61,752,2022,800,53000,,VIII Biobío,5000000,0,0,,2
47,609,2018,2500,98000,,Valparaíso,11800000,0,1,0,6
61,752,2010,800,144632,,Región Metropolitana,2800000,0,0,,14
27,353,2019,1600,140000,,Valparaíso,7200000,0,0,0,5
